"Technologies Used by COOPs in Fall 2021"
.NET
.NET
.NET
AngularJS
AngularJS
AngularJs
AngularJS
AngularJs
Appium
ASP.NET
ASP.NET
Atera Subscripts
AWS
Azure
Azure
Azure
Azure
Bitbucket
C#
C#
C#
C#
C#
C#
C#
C#
C#
CSS
CSS
CSS
CSS
CSS
CSS
CSS
CSS
CSS
Dbeaver
Django
Docker
Docker
Docker
Docker
Drupal
Drupal
Electionjs
Expressjs
GraphQL
Groovy
Hibernate
HTML
HTML
HTML
HTML
HTML
HTML
HTML
HTML
Java
Java
Java
"Java Selenium"
JavaScript
Javascript
Javascript
Javascript
Javascript
Javascript
JavaScript
JavaScript
Jira
Jira
Jquery
JSP
Kotlin
"Linode linux"
Linux
Mapforce
MariaDB
Maven
"Microsoft Office"
"Microsoft PowerShell"
Mohive
Mural
MySQL
Nginx
Nodejs
NodeJS
NuGet
PHP
PHP
Postgres
Postman
Python
Python
Python
Python
Python
Python
ReactJS
ReactJS
ReactJS
ReadyAPI
Selenium
SharePoint
Slack
SQL
SQL
SQL
SQL
Swagger
Teams
TypeScript
Typescript
Typescript
Typescript
Unity
"Visual Studio"
"Visual Studio"
"Visual Studio"
"Visual studio"
"Visual Studio"
"Visual studio"
"Visual Studio"
VSCode
Vue
Vue.JS
WordPress
WordPress
Wordpress
Zoho
Zoho
Zoho
